round,train_mse,heldout_nrmse,family_accuracy,assignment_change,restart_agreement,fragmentation,sign_split,magnitude_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
30,0.00204282789491117,0.18373297154903412,0.7072538860103627,0.31032215647600264,0.6771860618014465,0.29751187796949236,0.06188287866370059,0.07104787014061208,-1.1381837392120988,-0.5148262165386053,-0.6315904204980578,0.16502301117685733,0.16502301117685733,0.34845496383957925,0.16502301117685733,0.1564760026298488
31,0.0018283980898559093,0.18158960342407227,0.6839378238341969,0.3247863247863248,0.6811308349769888,0.3214970409268984,0.1616495503481805,0.10296215880893302,-0.9736916098269066,-0.019740362475911155,-0.8144137895532955,0.1722550953320184,0.17488494411571334,0.34845496383957925,0.15779092702169625,0.14661406969099278
32,0.0017842911183834076,0.18331634998321533,0.7124352331606217,0.3241288625904011,0.68310322156476,0.2926564974576978,0.009444639581625872,0.04514319685690655,-0.8740017372394029,-0.06858809282763478,-0.900308101521071,0.15910585141354372,0.17159763313609466,0.34845496383957925,0.17094017094017094,0.14990138067061143
33,0.0018826042069122195,0.18937641382217407,0.7357512953367875,0.32215647600262987,0.6824457593688363,0.26908810535967326,0.003260881685539211,0.062344913151364756,-0.8489378606736389,-0.23145534724771788,-0.9772972399825455,0.18211702827087442,0.16962524654832348,0.34845496383957925,0.14792899408284024,0.15187376725838264
34,0.0017870328156277537,0.1878564953804016,0.6839378238341969,0.3228139381985536,0.6811308349769888,0.3214970409268984,0.03182896504814312,0.10296215880893302,-0.589383417461258,-0.5150864139301468,-0.8217711070625278,0.168310322156476,0.1722550953320184,0.34845496383957925,0.16173570019723865,0.1492439184746877
35,0.0017655524425208569,0.18273334205150604,0.7046632124352331,0.3214990138067061,0.663379355687048,0.3004084354421939,0.05472204102341088,0.01876550868486354,-0.5513060819215649,-0.8051127579090844,-0.6386887360543108,0.1663379355687048,0.15910585141354372,0.34845496383957925,0.16370808678500987,0.1623931623931624
36,0.0016973345773294568,0.183609277009964,0.6865284974093264,0.3247863247863248,0.673241288625904,0.31912144702842377,0.1807151498932321,0.02389371381306864,-0.8192985664338694,-0.23619126199964113,-0.6527400921557573,0.19395134779750164,0.17488494411571334,0.34845496383957925,0.13609467455621302,0.14661406969099278
37,0.0019496611785143614,0.1796272248029709,0.7072538860103627,0.33136094674556216,0.6725838264299803,0.29761607068433776,0.06147657517520533,0.06046319272125725,-0.7629176179800394,-0.18260036681387692,-0.8053334857900187,0.1722550953320184,0.17422748191978962,0.34845496383957925,0.15779092702169625,0.1472715318869165
38,0.0017503697890788317,0.17933490872383118,0.6813471502590673,0.29980276134122286,0.6640368178829718,0.3242894056847545,0.030289472070293977,0.002724358974358974,-0.7792524193314647,-0.15945105600466913,-0.7088685700514488,0.16502301117685733,0.17357001972386588,0.34845496383957925,0.16502301117685733,0.14792899408284024
39,0.0016420745523646474,0.18311592936515808,0.7046632124352331,0.3175542406311637,0.673241288625904,0.3004084354421939,0.03782037343681179,0.04408602150537635,-0.48057527902951236,-0.48764314129141284,-0.6418615484515631,0.16502301117685733,0.18474687705456935,0.34845496383957925,0.16502301117685733,0.13675213675213677
