round,train_mse,val_nrmse,unit_accuracy,base_change,base_agreement,mean_sign_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
27,0.001149818068370223,0.11479605734348297,0.546875,0.1005859375,0.84765625,0.9856870707374542,0.22728075420213834,0.15573236805202983,0.17802052178813532,0.1728515625,0.18294270833333334,0.248046875,0.22200520833333334,0.17415364583333334
28,0.0009080708841793239,0.10606639087200165,0.5403645833333334,0.1025390625,0.86328125,1.0,0.30366386001208956,0.13559556705812414,0.15231038437013245,0.17350260416666666,0.181640625,0.248046875,0.22298177083333334,0.173828125
29,0.000990971690043807,0.10998164117336273,0.54296875,0.107421875,0.861328125,0.9945355191256832,0.24798375349487212,0.15119351455987673,0.13839129931953897,0.17350260416666666,0.17936197916666666,0.24869791666666666,0.22721354166666666,0.17122395833333334
30,0.0009290441521443427,0.10931532084941864,0.5416666666666666,0.09765625,0.861328125,0.9972677595628415,0.0110639201909708,0.15825111706647177,0.4092010790055217,0.17350260416666666,0.18522135416666666,0.2503255208333333,0.21842447916666666,0.17252604166666666
31,0.0010483695659786463,0.11603457480669022,0.5403645833333334,0.1005859375,0.865234375,1.0,0.2498432032375879,0.1417074869785504,0.10437386277867233,0.17350260416666666,0.18229166666666666,0.2506510416666667,0.21842447916666666,0.17513020833333334
32,0.0009273252217099071,0.10683391243219376,0.54296875,0.09765625,0.861328125,0.9942096555873063,0.3392708435113032,0.14922572143855328,0.14116091200389413,0.17350260416666666,0.18294270833333334,0.2490234375,0.22298177083333334,0.17154947916666666
33,0.0008573361556045711,0.10139293968677521,0.5403645833333334,0.10546875,0.857421875,1.0,0.34139981336777936,0.16286584468189358,0.1176974587876416,0.17350260416666666,0.18522135416666666,0.24544270833333334,0.22265625,0.17317708333333334
34,0.0008138105622492731,0.107005774974823,0.5403645833333334,0.1103515625,0.865234375,1.0,0.3497320037804529,0.19222359212971363,0.13054721818744652,0.17350260416666666,0.18326822916666666,0.248046875,0.2236328125,0.17154947916666666
35,0.000927986460737884,0.1083667054772377,0.5416666666666666,0.1044921875,0.8447265625,0.9972677595628415,0.38105579873122364,0.1440804791337602,0.10991716631241777,0.17350260416666666,0.185546875,0.24609375,0.22330729166666666,0.17154947916666666
36,0.0008438366930931807,0.09491639584302902,0.5403645833333334,0.1103515625,0.8642578125,1.0,0.4036288926159557,0.13422640918939854,0.15914708179206272,0.17350260416666666,0.18359375,0.24837239583333334,0.2216796875,0.1728515625
37,0.0009172026766464114,0.11115743964910507,0.5403645833333334,0.107421875,0.8701171875,1.0,0.3597770064681839,0.13855088178116792,0.17485140282336753,0.17317708333333334,0.1806640625,0.24967447916666666,0.22298177083333334,0.17350260416666666
38,0.0008035267819650471,0.09436158835887909,0.5416666666666666,0.109375,0.8671875,0.9969418960244649,0.3353240322001835,0.12757063241459354,0.19501100373567615,0.17350260416666666,0.18782552083333334,0.248046875,0.2177734375,0.1728515625
39,0.0009018728160299361,0.10446558892726898,0.5403645833333334,0.103515625,0.8671875,1.0,0.35949351732413737,0.160785071114243,0.17037226952423434,0.17317708333333334,0.18131510416666666,0.2506510416666667,0.22135416666666666,0.17350260416666666
